# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions (d1, d2): {'sx': 0.999995, 'sy': 1.00001, 'sz': 0.999995}, {'sx': 1.000005, 'sy': 0.99999, 'sz': 1.000005}
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     e1        avg1      gamma1    e2        avg2      gamma2
   200  -889.514  0.568  9.997e-01  9.997e-01     0.998  1.000e+00  1.000e+00     0.997
   400  -928.109  0.574  9.997e-01  9.997e-01     0.974  1.000e+00  1.000e+00     0.973
   600  -902.557  0.531  9.996e-01  9.996e-01     1.125  1.000e+00  1.000e+00     1.124
   800  -925.316  0.556  1.000e+00  9.998e-01     0.782  9.999e-01  1.000e+00     0.781
  1000  -967.188  0.556  9.997e-01  9.997e-01     0.829  1.000e+00  1.000e+00     0.829
  1200  -936.000  0.593  1.001e+00  9.999e-01     0.282  9.992e-01  1.000e+00     0.282
  1400  -871.205  0.556  1.000e+00  9.999e-01     0.230  1.000e+00  1.000e+00     0.230
  1600  -948.772  0.562  9.995e-01  9.999e-01     0.384  1.000e+00  1.000e+00     0.383
  1800  -907.345  0.543  1.000e+00  9.999e-01     0.344  1.000e+00  1.000e+00     0.344
  2000  -923.855  0.488  9.995e-01  9.999e-01     0.475  1.001e+00  1.000e+00     0.474
  2200  -890.416  0.574  9.995e-01  9.998e-01     0.581  1.001e+00  1.000e+00     0.581
  2400  -911.664  0.568  9.998e-01  9.998e-01     0.580  1.000e+00  1.000e+00     0.579
  2600  -914.371  0.593  1.001e+00  9.999e-01     0.378  9.994e-01  1.000e+00     0.377
  2800  -905.082  0.525  9.995e-01  9.999e-01     0.464  1.000e+00  1.000e+00     0.464
  3000  -921.336  0.525  1.000e+00  9.999e-01     0.393  9.998e-01  1.000e+00     0.392
  3200  -924.301  0.543  9.991e-01  9.998e-01     0.539  1.001e+00  1.000e+00     0.538
  3400  -939.354  0.562  1.001e+00  9.999e-01     0.263  9.987e-01  1.000e+00     0.263
  3600  -934.948  0.562  9.999e-01  9.999e-01     0.262  1.000e+00  1.000e+00     0.262
  3800  -872.159  0.506  9.996e-01  9.999e-01     0.319  1.000e+00  1.000e+00     0.319
  4000  -914.083  0.506  9.999e-01  9.999e-01     0.315  1.000e+00  1.000e+00     0.315
  4200  -909.876  0.531  9.999e-01  9.999e-01     0.318  1.000e+00  1.000e+00     0.318
  4400  -912.438  0.599  1.000e+00  9.999e-01     0.271  9.998e-01  1.000e+00     0.271
  4600  -902.805  0.531  9.999e-01  9.999e-01     0.272  1.000e+00  1.000e+00     0.272
  4800  -885.704  0.586  1.000e+00  9.999e-01     0.261  1.000e+00  1.000e+00     0.261
  5000  -915.641  0.475  9.993e-01  9.999e-01     0.343  1.001e+00  1.000e+00     0.343
  5200  -887.162  0.556  9.992e-01  9.999e-01     0.424  1.001e+00  1.000e+00     0.424
  5400  -920.957  0.519  9.992e-01  9.998e-01     0.498  1.001e+00  1.000e+00     0.498
  5600  -905.483  0.519  9.998e-01  9.998e-01     0.501  1.000e+00  1.000e+00     0.501
  5800  -916.968  0.531  9.998e-01  9.998e-01     0.502  1.000e+00  1.000e+00     0.502
  6000  -947.144  0.488  9.998e-01  9.998e-01     0.504  1.000e+00  1.000e+00     0.504
  6200  -952.349  0.512  9.999e-01  9.998e-01     0.495  1.000e+00  1.000e+00     0.495
  6400  -908.345  0.488  9.995e-01  9.998e-01     0.534  1.001e+00  1.000e+00     0.534
  6600  -885.801  0.574  1.000e+00  9.998e-01     0.495  9.998e-01  1.000e+00     0.495
  6800  -854.784  0.549  1.000e+00  9.999e-01     0.468  9.999e-01  1.000e+00     0.468
  7000  -834.914  0.500  9.994e-01  9.998e-01     0.508  1.001e+00  1.000e+00     0.508
  7200  -854.301  0.574  9.994e-01  9.998e-01     0.551  1.001e+00  1.000e+00     0.551
  7400  -859.317  0.593  9.998e-01  9.998e-01     0.550  1.000e+00  1.000e+00     0.550
  7600  -864.281  0.469  1.000e+00  9.998e-01     0.520  9.998e-01  1.000e+00     0.520
  7800  -900.439  0.519  9.995e-01  9.998e-01     0.547  1.000e+00  1.000e+00     0.547
  8000  -913.392  0.488  9.996e-01  9.998e-01     0.569  1.000e+00  1.000e+00     0.569
  8200  -888.766  0.617  1.000e+00  9.998e-01     0.552  1.000e+00  1.000e+00     0.551
  8400  -912.383  0.580  9.995e-01  9.998e-01     0.575  1.000e+00  1.000e+00     0.575
  8600  -890.776  0.580  1.000e+00  9.998e-01     0.558  9.999e-01  1.000e+00     0.558
  8800  -909.572  0.543  1.001e+00  9.999e-01     0.474  9.990e-01  1.000e+00     0.474
  9000  -917.181  0.525  1.000e+00  9.999e-01     0.467  1.000e+00  1.000e+00     0.466
  9200  -879.209  0.574  9.989e-01  9.998e-01     0.530  1.001e+00  1.000e+00     0.530
  9400  -858.062  0.568  9.999e-01  9.998e-01     0.525  1.000e+00  1.000e+00     0.525
  9600  -904.720  0.568  1.001e+00  9.999e-01     0.475  9.994e-01  1.000e+00     0.475
  9800  -896.062  0.568  1.000e+00  9.999e-01     0.466  1.000e+00  1.000e+00     0.466
 10000  -880.036  0.568  9.998e-01  9.998e-01     0.624  1.000e+00  1.000e+00     0.623
 10200  -929.586  0.494  9.995e-01  9.996e-01     1.155  1.001e+00  1.000e+00     1.154
 10400  -913.564  0.512  9.999e-01  9.997e-01     0.890  1.000e+00  1.000e+00     0.890
 10600  -979.645  0.432  1.000e+00  9.998e-01     0.707  1.000e+00  1.000e+00     0.707
 10800  -973.428  0.463  9.999e-01  9.998e-01     0.652  1.000e+00  1.000e+00     0.651
 11000  -962.826  0.543  9.991e-01  9.997e-01     1.020  1.001e+00  1.000e+00     1.019
 11200  -947.734  0.580  9.997e-01  9.997e-01     1.019  1.000e+00  1.000e+00     1.018
 11400  -948.823  0.556  9.999e-01  9.997e-01     0.950  1.000e+00  1.000e+00     0.950
 11600  -923.725  0.512  1.000e+00  9.998e-01     0.758  9.998e-01  1.000e+00     0.757
 11800  -908.966  0.543  1.000e+00  9.998e-01     0.587  9.997e-01  1.000e+00     0.587
 12000  -965.018  0.420  9.999e-01  9.998e-01     0.558  1.000e+00  1.000e+00     0.558
 12200  -941.898  0.549  1.000e+00  9.999e-01     0.438  9.997e-01  1.000e+00     0.437
 12400  -940.463  0.506  1.001e+00  9.999e-01     0.237  9.993e-01  1.000e+00     0.237
 12600  -996.841  0.481  1.000e+00  9.999e-01     0.205  9.999e-01  1.000e+00     0.204
 12800  -957.055  0.549  9.997e-01  9.999e-01     0.261  1.000e+00  1.000e+00     0.260
 13000  -965.935  0.562  9.992e-01  9.999e-01     0.399  1.001e+00  1.000e+00     0.398
 13200  -907.797  0.531  1.000e+00  9.999e-01     0.370  1.000e+00  1.000e+00     0.369
 13400  -933.105  0.463  1.000e+00  9.999e-01     0.341  1.000e+00  1.000e+00     0.341
 13600  -957.390  0.494  9.992e-01  9.999e-01     0.463  1.001e+00  1.000e+00     0.463
 13800  -959.491  0.457  9.997e-01  9.998e-01     0.482  1.000e+00  1.000e+00     0.482
 14000  -951.183  0.605  1.000e+00  9.999e-01     0.438  9.999e-01  1.000e+00     0.438
 14200  -917.549  0.556  1.000e+00  9.999e-01     0.382  9.997e-01  1.000e+00     0.381
 14400  -928.534  0.481  9.992e-01  9.998e-01     0.480  1.001e+00  1.000e+00     0.480
 14600  -943.943  0.525  9.999e-01  9.999e-01     0.473  1.000e+00  1.000e+00     0.473
 14800  -935.888  0.481  1.000e+00  9.999e-01     0.433  9.998e-01  1.000e+00     0.433
 15000  -870.648  0.519  1.000e+00  9.999e-01     0.418  1.000e+00  1.000e+00     0.417
 15200  -884.310  0.506  1.000e+00  9.999e-01     0.406  1.000e+00  1.000e+00     0.406
 15400  -931.222  0.457  9.983e-01  9.998e-01     0.580  1.002e+00  1.000e+00     0.580
 15600  -896.879  0.574  9.995e-01  9.998e-01     0.612  1.000e+00  1.000e+00     0.612
 15800  -904.148  0.549  9.997e-01  9.998e-01     0.627  1.000e+00  1.000e+00     0.627
 16000  -930.926  0.586  9.993e-01  9.998e-01     0.675  1.001e+00  1.000e+00     0.675
 16200  -895.351  0.519  1.000e+00  9.998e-01     0.615  9.996e-01  1.000e+00     0.615
 16400  -922.184  0.549  1.000e+00  9.998e-01     0.589  9.999e-01  1.000e+00     0.588
 16600  -905.632  0.568  1.000e+00  9.998e-01     0.538  9.996e-01  1.000e+00     0.538
 16800  -940.890  0.599  1.001e+00  9.999e-01     0.469  9.994e-01  1.000e+00     0.469
 17000  -950.036  0.568  9.994e-01  9.998e-01     0.510  1.001e+00  1.000e+00     0.510
 17200  -968.565  0.475  9.989e-01  9.998e-01     0.590  1.001e+00  1.000e+00     0.590
 17400  -980.207  0.457  9.995e-01  9.998e-01     0.618  1.001e+00  1.000e+00     0.618
 17600  -959.720  0.475  9.998e-01  9.998e-01     0.621  1.000e+00  1.000e+00     0.621
 17800  -946.757  0.457  9.985e-01  9.998e-01     0.726  1.001e+00  1.000e+00     0.726
 18000  -986.447  0.494  9.998e-01  9.998e-01     0.721  1.000e+00  1.000e+00     0.721
 18200  -941.637  0.525  1.001e+00  9.998e-01     0.650  9.993e-01  1.000e+00     0.650
 18400  -957.720  0.488  9.991e-01  9.998e-01     0.700  1.001e+00  1.000e+00     0.700
 18600  -970.602  0.580  9.995e-01  9.998e-01     0.719  1.000e+00  1.000e+00     0.719
