# Simulation Parameters
# Box dimensions: 3 x 12 x 3
# Temperature: 0.8
# Total steps: 10000
# Log interval: 100
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [10, 2000, 5000]
# Console freq: 50
# Trajectory freq/file: 100/data/vle-small_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
   100  -354.223  0.667  1.175e-171      inf       inf  1.175e-171      inf      -inf
   200  -318.458  0.667  2.129e-154      inf       inf  2.129e-154      inf      -inf
   300  -322.455  0.733  2.510e-156      inf       inf  2.509e-156      inf      -inf
   400  -254.791  0.733  1.123e-123      inf       inf  1.124e-123      inf      -inf
   500  -218.380  0.600  4.176e-106      inf       inf  4.180e-106      inf      -inf
   600  -279.620  0.667  1.173e-135      inf       inf  1.173e-135      inf      -inf
   700  -248.261  0.667  1.591e-120      inf       inf  1.591e-120      inf      -inf
   800  -258.197  0.667  2.552e-125      inf       inf  2.553e-125      inf      -inf
   900  -229.995  0.667  1.038e-111      inf       inf  1.038e-111      inf      -inf
  1000  -195.975  0.867  2.706e-95      inf       inf  2.706e-95      inf      -inf
  1100  -214.516  0.600  3.059e-104      inf       inf  3.059e-104      inf      -inf
  1200  -213.396  0.533  1.062e-103      inf       inf  1.062e-103      inf      -inf
  1300  -171.508  0.667  1.733e-83      inf       inf  1.733e-83      inf      -inf
  1400  -201.514  0.933  5.746e-98      inf       inf  5.746e-98      inf      -inf
  1500  -157.200  0.667  1.390e-76      inf       inf  1.391e-76      inf      -inf
  1600  -160.366  0.933  4.126e-78      inf       inf  4.127e-78      inf      -inf
  1700  -190.315  0.467  1.458e-92      inf       inf  1.458e-92      inf      -inf
  1800  -159.238  0.800  1.445e-77      inf       inf  1.445e-77      inf      -inf
  1900  -157.387  0.867  1.131e-76      inf       inf  1.130e-76      inf      -inf
  2000  -222.676  0.800  3.531e-108  3.531e-108  -1099636.048  3.530e-108  3.530e-108  1099632.429
  2100  -253.392  0.600  5.321e-123  1.369e-95  -970810.659  5.320e-123  1.368e-95  970806.213
  2200  -233.132  0.733  3.180e-113  7.114e-96  -973718.420  3.179e-113  7.114e-96  973713.856
  2300  -263.938  0.733  4.333e-128  4.751e-96  -975513.115  4.331e-128  4.750e-96  975508.542
  2400  -260.577  0.667  1.814e-126  3.566e-96  -976788.012  1.815e-126  3.566e-96  976783.433
  2500  -255.981  0.600  2.994e-124  8.323e-95  -962787.044  2.995e-124  8.326e-95  962780.515
  2600  -319.328  0.733  8.099e-155  6.938e-95  -963595.885  8.095e-155  6.941e-95  963589.353
  2700  -288.863  0.533  4.070e-140  5.948e-95  -964279.945  4.069e-140  5.951e-95  964273.408
  2800  -230.164  0.667  8.594e-112  5.206e-95  -964872.626  8.596e-112  5.208e-95  964866.087
  2900  -204.219  0.933  2.846e-99  1.746e-74  -754820.789  2.846e-99  1.744e-74  754821.976
  3000  -202.503  0.800  1.915e-98  1.571e-74  -755288.566  1.915e-98  1.569e-74  755289.750
  3100  -169.728  0.400  1.253e-82  8.039e-73  -737799.045  1.253e-82  8.039e-73  737795.545
  3200  -155.452  0.467  9.702e-76  7.563e-62  -625499.485  9.696e-76  7.570e-62  625491.931
  3300  -171.872  0.667  1.157e-83  6.982e-62  -625854.946  1.157e-83  6.988e-62  625847.390
  3400  -156.478  0.733  3.100e-76  1.607e-59  -601682.690  3.100e-76  1.606e-59  601683.053
  3500  -213.217  0.867  1.294e-103  1.500e-59  -601989.115  1.295e-103  1.499e-59  601989.475
  3600  -241.686  0.467  2.368e-117  1.406e-59  -602275.768  2.368e-117  1.405e-59  602276.127
  3700  -213.678  0.800  7.756e-104  1.323e-59  -602545.048  7.757e-104  1.322e-59  602545.406
  3800  -249.124  0.933  6.097e-121  1.250e-59  -602798.941  6.099e-121  1.249e-59  602799.298
  3900  -157.873  0.733  6.587e-77  1.184e-59  -603039.110  6.588e-77  1.183e-59  603039.466
  4000  -181.618  0.667  2.292e-88  1.125e-59  -603266.964  2.293e-88  1.124e-59  603267.318
  4100  -169.882  0.733  1.055e-82  1.071e-59  -603483.704  1.055e-82  1.071e-59  603484.057
  4200  -129.359  0.733  3.784e-63  1.026e-59  -603675.220  3.783e-63  1.025e-59  603675.563
  4300  -169.860  0.600  1.081e-82  9.863e-60  -603851.969  1.081e-82  9.855e-60  603852.298
  4400  -140.872  1.000  1.052e-68  1.198e-59  -602988.088  1.053e-68  1.197e-59  602987.027
  4500  -134.985  0.933  7.299e-66  3.464e-43  -434528.881  7.299e-66  3.463e-43  434527.337
  4600  -127.568  0.800  2.769e-62  3.331e-43  -434703.128  2.769e-62  3.330e-43  434701.582
  4700  -163.999  0.800  7.284e-80  3.207e-43  -434870.800  7.287e-80  3.207e-43  434869.253
  4800  -134.742  0.867  9.563e-66  3.093e-43  -435032.375  9.559e-66  3.092e-43  435030.828
  4900  -142.747  0.733  1.311e-69  2.986e-43  -435188.282  1.311e-69  2.986e-43  435186.734
  5000  -142.200  0.467  2.407e-69  2.407e-69  -702223.181  2.406e-69  2.406e-69  702221.512
  5100  -201.022  0.400  9.934e-98  1.186e-61  -623500.383  9.932e-98  1.186e-61  623495.984
  5200  -180.242  0.867  1.058e-87  6.160e-50  -503606.279  1.058e-87  6.161e-50  503603.261
  5300  -114.644  0.800  4.771e-56  4.114e-50  -505400.974  4.768e-56  4.114e-50  505397.947
  5400  -132.857  0.933  7.757e-65  3.088e-50  -506675.870  7.763e-65  3.088e-50  506672.837
  5500  -141.231  0.867  7.067e-69  5.849e-41  -411732.897  7.067e-69  5.858e-41  411723.947
  5600  -165.676  0.867  1.130e-80  4.876e-41  -412541.738  1.131e-80  4.884e-41  412532.784
  5700  -177.264  0.733  2.893e-86  4.180e-41  -413225.797  2.893e-86  4.187e-41  413216.840
  5800  -136.955  0.800  8.174e-67  3.659e-41  -413818.479  8.179e-67  3.664e-41  413809.519
  5900  -139.862  0.733  3.233e-68  3.252e-41  -414341.344  3.234e-68  3.258e-41  414332.381
  6000  -117.156  0.933  2.927e-57  4.845e-34  -340933.765  2.926e-57  4.844e-34  340933.552
  6100  -103.552  1.000  1.075e-50  4.420e-34  -341342.467  1.075e-50  4.418e-34  341342.245
  6200  -119.139  0.533  3.232e-58  4.052e-34  -341728.848  3.232e-58  4.050e-34  341728.624
  6300   -91.534  0.867  6.762e-45  4.021e-34  -341762.844  6.762e-45  4.019e-34  341762.487
  6400   -82.944  0.933  9.446e-41  3.734e-34  -342091.339  9.447e-41  3.733e-34  342090.981
  6500   -92.360  0.800  2.702e-45  3.485e-34  -342397.763  2.702e-45  3.484e-34  342397.403
  6600  -113.918  0.667  1.069e-55  3.280e-34  -342667.347  1.069e-55  3.279e-34  342666.988
  6700  -131.343  0.733  4.172e-64  3.087e-34  -342936.628  4.172e-64  3.087e-34  342936.267
  6800  -110.737  0.733  3.663e-54  2.916e-34  -343190.520  3.664e-54  2.915e-34  343190.158
  6900  -120.712  0.867  5.630e-59  2.763e-34  -343430.606  5.629e-59  2.762e-34  343430.243
  7000  -104.362  0.733  4.367e-51  2.625e-34  -343658.460  4.368e-51  2.624e-34  343658.096
  7100  -113.336  0.933  2.040e-55  2.500e-34  -343875.200  2.040e-55  2.499e-34  343874.834
  7200  -130.040  0.600  1.775e-63  2.386e-34  -344081.860  1.775e-63  2.385e-34  344081.493
  7300  -121.077  0.667  3.752e-59  2.282e-34  -344279.336  3.753e-59  2.282e-34  344278.968
