# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
   200   -11.471  0.975  9.998e-01  1.000e+00     0.030  1.000e+00  1.000e+00     0.030
   400    -7.436  0.850  1.000e+00  1.000e+00    -0.028  9.999e-01  1.000e+00    -0.028
   600   -11.687  0.950  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
   800    -8.258  1.000  9.999e-01  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
  1000   -13.877  0.825  9.999e-01  1.000e+00    -0.030  1.000e+00  1.000e+00    -0.030
  1200   -16.764  0.925  1.000e+00  1.000e+00    -0.032  1.000e+00  1.000e+00    -0.032
  1400   -12.967  0.950  1.000e+00  1.000e+00    -0.025  9.999e-01  1.000e+00    -0.025
  1600    -9.154  0.950  1.001e+00  1.000e+00    -0.021  9.994e-01  1.000e+00    -0.021
  1800   -15.744  0.850  1.000e+00  1.000e+00    -0.015  1.000e+00  1.000e+00    -0.015
  2000    -6.548  0.975  1.000e+00  1.000e+00    -0.010  1.000e+00  1.000e+00    -0.010
  2200   -15.851  0.900  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
  2400   -12.857  0.950  1.000e+00  1.000e+00    -0.012  1.000e+00  1.000e+00    -0.012
  2600   -15.800  0.900  1.000e+00  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
  2800   -22.384  0.925  1.000e+00  1.000e+00    -0.014  9.999e-01  1.000e+00    -0.014
  3000   -15.034  0.925  1.000e+00  1.000e+00    -0.015  9.998e-01  1.000e+00    -0.015
  3200   -10.904  0.850  1.000e+00  1.000e+00    -0.017  1.000e+00  1.000e+00    -0.017
  3400   -12.320  0.975  1.000e+00  1.000e+00    -0.016  9.999e-01  1.000e+00    -0.016
  3600   -16.400  0.975  1.000e+00  1.000e+00    -0.013  1.000e+00  1.000e+00    -0.013
  3800   -14.424  0.925  1.000e+00  1.000e+00    -0.013  9.999e-01  1.000e+00    -0.013
  4000   -18.840  0.850  1.000e+00  1.000e+00    -0.011  9.999e-01  1.000e+00    -0.011
  4200   -17.396  0.925  9.999e-01  1.000e+00    -0.006  1.000e+00  1.000e+00    -0.006
  4400   -14.960  0.950  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
  4600   -17.230  0.925  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
  4800   -12.036  0.900  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
  5000   -14.408  0.850  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
  5200   -15.813  0.925  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
  5400   -17.924  0.925  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
  5600   -18.234  0.925  1.000e+00  1.000e+00    -0.007  9.995e-01  1.000e+00    -0.007
  5800   -11.444  0.950  1.000e+00  1.000e+00    -0.008  9.999e-01  1.000e+00    -0.008
  6000    -7.316  1.000  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
  6200    -9.461  0.975  1.000e+00  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
  6400   -18.362  0.950  9.997e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
  6600   -13.999  0.950  1.000e+00  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
  6800   -11.371  0.950  1.000e+00  1.000e+00    -0.006  9.999e-01  1.000e+00    -0.006
  7000   -11.237  0.925  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
  7200   -16.476  0.825  9.998e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
  7400    -9.489  0.975  1.000e+00  1.000e+00    -0.009  9.999e-01  1.000e+00    -0.009
  7600   -12.372  0.975  9.999e-01  1.000e+00    -0.010  1.000e+00  1.000e+00    -0.010
  7800   -10.677  0.825  9.999e-01  1.000e+00    -0.011  1.000e+00  1.000e+00    -0.011
  8000   -12.959  0.875  1.000e+00  1.000e+00    -0.010  9.998e-01  1.000e+00    -0.010
  8200   -14.672  0.850  9.999e-01  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
  8400   -13.324  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
  8600   -14.522  0.900  9.999e-01  1.000e+00    -0.007  1.000e+00  1.000e+00    -0.007
  8800   -13.901  0.900  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
  9000   -13.198  0.850  1.000e+00  1.000e+00    -0.007  9.999e-01  1.000e+00    -0.007
  9200   -12.736  0.925  9.999e-01  1.000e+00    -0.008  1.000e+00  1.000e+00    -0.008
  9400   -17.365  0.925  1.000e+00  1.000e+00    -0.009  1.000e+00  1.000e+00    -0.009
