# Simulation Parameters
# Box dimensions: 3 x 12 x 3
# Temperature: 0.8
# Total steps: 50000
# Log interval: 100
# Max displacement: 0.125
# Distortions: d1=(0.999995,1.00001,0.999995), d2=(1.000005,0.99999,1.000005)
# Reset sampling at: [100, 2000]
# Console freq: 50
# Trajectory freq/file: 100/data/vle-small_trajectory.xyz

# step   E_pot     acc     w1        avg1      gamma1    w2        avg2      gamma2
   100   -28.438  0.667  9.999e-01  9.999e-01    -0.508  1.000e+00  1.000e+00    -0.508
   200   -27.785  0.800  1.001e+00  1.000e+00     0.016  9.991e-01  1.000e+00     0.015
   300   -29.565  0.867  1.000e+00  1.000e+00     0.075  9.999e-01  1.000e+00     0.075
   400   -27.479  0.667  1.000e+00  1.000e+00    -0.136  1.000e+00  1.000e+00    -0.136
   500   -25.634  0.867  9.999e-01  1.000e+00    -0.037  1.000e+00  1.000e+00    -0.037
   600   -28.768  0.733  9.997e-01  1.000e+00    -0.074  1.000e+00  1.000e+00    -0.074
   700   -31.588  0.533  9.997e-01  1.000e+00    -0.094  1.000e+00  1.000e+00    -0.094
   800   -27.722  0.733  9.999e-01  1.000e+00    -0.070  1.000e+00  1.000e+00    -0.070
   900   -25.972  0.867  1.000e+00  1.000e+00    -0.056  9.999e-01  1.000e+00    -0.056
  1000   -20.478  0.800  9.998e-01  1.000e+00    -0.095  1.000e+00  1.000e+00    -0.095
  1100   -32.535  0.533  9.999e-01  1.000e+00    -0.131  1.000e+00  1.000e+00    -0.131
  1200   -28.198  0.867  9.999e-01  1.000e+00    -0.114  1.000e+00  1.000e+00    -0.114
  1300   -30.361  0.667  1.000e+00  1.000e+00    -0.070  9.996e-01  1.000e+00    -0.070
  1400   -21.242  0.600  9.998e-01  1.000e+00    -0.045  1.000e+00  1.000e+00    -0.045
  1500   -29.050  0.933  9.999e-01  1.000e+00    -0.055  1.000e+00  1.000e+00    -0.055
  1600   -27.564  0.800  1.000e+00  1.000e+00    -0.058  9.997e-01  1.000e+00    -0.058
  1700   -34.455  0.933  1.000e+00  1.000e+00    -0.062  1.000e+00  1.000e+00    -0.062
  1800   -33.878  0.400  9.995e-01  1.000e+00    -0.076  1.000e+00  1.000e+00    -0.076
  1900   -27.333  0.600  1.000e+00  1.000e+00    -0.080  9.998e-01  1.000e+00    -0.080
  2000   -26.054  0.667  9.996e-01  9.996e-01    -1.828  1.000e+00  1.000e+00    -1.827
  2100   -28.887  0.467  1.000e+00  9.999e-01    -0.226  9.999e-01  1.000e+00    -0.226
  2200   -31.406  0.733  9.996e-01  1.000e+00    -0.140  1.000e+00  1.000e+00    -0.140
  2300   -25.090  0.867  1.000e+00  9.999e-01    -0.413  9.999e-01  1.000e+00    -0.413
  2400   -28.635  0.467  1.000e+00  9.999e-01    -0.393  9.997e-01  1.000e+00    -0.393
  2500   -29.377  0.600  9.998e-01  9.999e-01    -0.382  1.000e+00  1.000e+00    -0.382
  2600   -27.723  0.600  9.997e-01  9.999e-01    -0.428  1.000e+00  1.000e+00    -0.428
  2700   -31.661  0.667  1.000e+00  9.999e-01    -0.413  9.998e-01  1.000e+00    -0.414
  2800   -30.406  0.867  1.000e+00  9.999e-01    -0.416  1.000e+00  1.000e+00    -0.416
  2900   -26.084  0.933  1.000e+00  9.999e-01    -0.330  9.999e-01  1.000e+00    -0.330
  3000   -26.953  0.733  1.000e+00  9.999e-01    -0.298  9.999e-01  1.000e+00    -0.298
